,reviews
643,my boyfriend and i wanted to return from our trip to london a day early but the ba app and website continued to glitch so i called to ask how much it would be to leave a day earlier i was told that the penalty fee for changing the flight is 275 each and theres a 50 fee for them to do it over the phone thats 600 and the price of a flight by itself we decided to try our luck again changing it on the app and paid 550 to change our flight to one day earlier to make it back for an event the flight was delayed and arrived 1hr 55 mins late we missed our event the plane was filthy and my tv didnt work i asked the flight attendant for something to clean the slimy finger smears off the screen with and she told me its normal wear and tear but i could get toilet paper from the bathroom i called to ask for a refund for the fees since the flight was delayed but they told me they cant give us a refund because we got on the flight
644,i had kept my laptop bag in the overhead cabin somebody got in a bigger cabin bag and they couldnt fit the bag in the space remaining so they kept the bag on my laptop bag when i asked the flight attendant to help me with this he asked me to keep my luggage down  i was travelling with only one laptop bag placed it in the cabin right over my seat and instead of asking the oversized bag to be placed properly or kept it elsewhere my bag which was in place before the oversized bag came in was asked to be moved out how fair is this
645,london to delhi a truly first class experience from check in to landing i am a frequent flyer with ba and have not always had an amazing experience this one was check in was easy and swift and the concorde room was excellent the flight itself was wonderful while i accept it isnt the best first class cabin in the skies the service is second to none the cabin crew were friendly greeting us by name and showing us personally to our seats throughout they ensured we were very well looked after without them being overbearing new soft product is very good and food definitely much improved
646,london heathrow to dubai last sunday we unfortunately missed our ba flight to dubai due to unforeseen circumstances so we booked the next available flight for the morning which was with emirates today we arrived at dubai airport expecting to board the flight home that we had already paid for months in advance at check in the ba staff told us that our flight had been cancelled as we missed our outgoing flight we have not received a refund for the seats and they have refused to refund us the tickets we had brought
647,london to seattle my husband and i have used this service for a number of years as our son lives in america we have always been very satisfied with the service unfortunately i was taken ill on this flight and the service went from good to superb id like to thank the cabin crew and captain for the care i received during the last two hours of the flight advice was sought via radio i was made comfortable in the galley at least one crew member with me at all times given oxygen etc paramedic boarded the plane and escorted me off when i was then given a thorough medical check a wheel chair was waiting and we were fast tracked through customs as i was not well enough to walk to the car park we met the crew at the lift and the captain came to ask how i was many thanks to all of the and apologies to passengers that i must have disturbed
648,johannesburg to london i booked a seat without luggage firstly one cannot make one booking for two passengers if only one has luggage this caused an issue when trying to seat together when the passenger without luggage tried to move seats normally a free option for standard seats you get advised that you have to pay this was not disclosed when the booking was made it was irritating because one of us was ill
649,london to milan evening outbound flight with some on board space so middle seat was empty boarding by group number worked effectively and i was able to store my laptop in the overhead free newspapers were available in the jet way passengers were warmly greeted i was one row behind emergency exit and despite numerous requests from the steward woman in front was very challenging in agreeing to have her bag stored in the overhead which the steward handled very politely and patiently usual on board trolley service which i didnt use flight departed 10 minutes late due to lengthy taxi way and due to a head wind arrived in linate 20 minutes late return flight could have been a challenge due to italian strike but the very full flight departed on time and landed 15 minutes early the cabin crew on this flight were excellent especially the senior stewardess who was warm and friendly towards every single customer  outstanding we were taken off the aircraft and bussed into t5 which i think actually saved time as the entrance is directly below passport control all in all a couple of very good flights
650,he connecting flight to johannesburg was on an older 737400 with proper business class seats and lots of legroom pretake off drinks offered and a decent meal for a short flight everything went smoothly and service was good boarding for the main flight was on time and proceeded smoothly we were seated on the upper deck in the forward cabin much has been said about the ba yingyang seat configuration the seats are narrow and there is a lack of privacy for the aisle seat with probably the main complaint being lack of storage for personal items around the seat however the seat is very comfortable in any position and the white company bedding is excellent we had an aisle  centre seats at the rear of the cabin which worked well as a couple with the privacy screen left down the centre seat does have a shelf for personal belongings and access from this seat does not require stepping over another passenger the service on this flight was superb from the welcome on boarding and continuing throughout the flight  very efficient quick to respond and super friendly preflight champagne or fruit juice was offered as soon as we were seated with a bar service as soon as the seat belt light was off there was a choice of 4 starters 3 mains and 3 sweets or cheeseboard with a decent choice of wines breakfast offered a good choice although we were happy with just the fruit yoghurt and bread there could be no complaints in respect of catering the a380 is a super aircraft and very quiet but without doubt the major feature of this flight was the fantastic crew our connecting flight to leeds was good but compared with our south african flight it was noticeable that this was economy class seats and spacing with just an empty middle seat it is a short flight but there was still a full meal service the only poor aspect on this trip was arrival in leeds the airport seems quite rundown escalator not working and few staff to be seen there was only one other arrival but we still waited over 30 minutes for luggage to come through
651,london heathrow to los angeles very nice experience i read other reviews slamming ba but that was not the experience we had from the check in to the lounge and on board the flight our experience was fantastic crew on the flight was outstanding and very attentive food was good not great but very good seats worked well and comfy more on that in the seat review again the flight crew and make or break the experience and this crew hit a home run in flight entertainment worked well but was not streaming with i like over the monitors aa does a very good job on this one world route as well but i would take ba over aa if you can but both airlines do a good job on these longer hauls
652,cpt is definitely getting its act together bas galleries lounge is spacious with a good selection of food and staff actually managed to make the group boarding work for once the upper deck is still one of the better bets when flying in club world thats despite the ancient yinyang seats and the tiny ife screen with appalling resolution the new bedding certainly helps cushion the hard seats and the large pillow actually feels luxurious the dinner service was according to the new cw soft design which meant delays while plates were brought out to passengers individually on the whole i think it works and having the triple bread roll already on the tray means that the bread is there when you want it rather than served with the dessert breakfast has been streamlined too and staff actually paid attention to the request cards filled in before takeoff apart from some inevitable turbulence the flight went according to plan and we touched down 30 minutes ahead of schedule a good flight overall but an old style business class experience
653,sofia to belfast via london the legroom on the sofia to heathrow flight was terrible i am not tall but my knees were pushing against the seat in front  service was non existent unless you want to pay inflated prices where did the service go there was a bad delay on the belfast flight  we were not allowed to reenter the lounge when the plane developed a fault as we had gone through security  only after 40 minutes were we allowed to reenter the lounge service announcement was chaotic and contradicted what ba was sending us via texts the delay lasted 2 hours 55 minutes just short enough to avoid compensation the belfast flight had a lot more legroom than the 3hour flight from sofia  i will never set foot on this airline again
654,lima to gatwick helpful and courteous cabin crew  the seat was uncomfortable and the in flight entertainment system derisory the screen was small and in poor condition movies shown in the in flight magazine were unavailable and the selection of movies was poor the touch screen failed to respond correctly and at times occasionally without warning increased the sound level to maximum without touching the screen or handset a 12 hr flight with a rubbish entertainment system
655,inverness to auckland via singapore with british airways service was very good but comfort was very bad for a 14 hour i had no more leg room than i did for an hour flight i was uncomfortable and as a regular flyer i have used other airlines that provide much more space for long haul flights
656,i was seated right next to the galley and lavatory in the aisle during the safety talk the cabin crew were only metres away talking loudly which was irritating so my initial impression was disappointed for business class however into the flight i found one female crew very personable and was offered a seat two back i was not provided with a complimentary travel wallet so did not realise that socks and sleep mask were available and i needed to ask for a pillow the menu guide was on cheap paper and with no convenient place to store it for reference later was very ordinary the evening meal was acceptable soup steakveg fruits  was ok served with freezing cold cutlery bed was ok but nowhere to store spectacles or personal needs such as spectacles asthma puffer or water bottle the breakfast of juice and cerealyoghurt was fine but the single poached egg was like a rubber ball and the included fish patties were unpalatable the lavatory was spacious and allowed room to change clothes ready for the connecting flight overall i expected a better level of attention to detail and a more upmarket delivery the only business class addition feature that i appreciated was being able to stretch out for some sleep ba ground staff were unable to link my second flight on a qf 11 from singapore to brisbane insisting i needed to collect my luggage leave arrivals and recheck in for next flight i am 73 with some mobility problems requiring assistance so this was a worry for me when i arrived in singapore the kind assistance girl arranged to take me to a special transit desk where it was no problem arranging for my bags to be forwarded to next flight
657,flight was ok minor delay didnt both me what was astonishing is that we had to wait an hour or so to drop off our luggage because at lyon airport they were training new ground staff at the same time they continued doing this even though the cue became pretty huge and time started to run out to make it to the flight
658,"
gatwick to barbados return i normally travel on ba with low expectations with the result that i am not too disappointed and sometimes pleasantly surprised the outbound flight was about par for the course with a reasonably comfortable seat and an ok cabin crew that did just about enough to look after us and make the flight uneventful however the flight did leave bang on time and managed to land in barbados before the virgin flight that was scheduled to leave gatwick five minutes before us with the result that we got through arrivals quickly the return flight a week later managed to reinforce my low expectations of ba with one of the poorer flights that we have experienced over the last few years once again when you travel west to east the crew specifically one lady who was looking after our part of the cabin somehow feel they have to rush through every part of the drinks and meal service that it becomes an ordeal the pre departure drinks were missed on all of seats on the left hand side of the pe cabin not a big deal but irritating non the less no bread was served with dinner despite there being butter on the plate so i presume it was missed my wife had ordered a veggie meal and was served about ten minutes before everyone else which was fine however as the crew were serving the remaining meals there was a continual dialogue across the two aisles about what selections they each had on their respective trolleys when they reached our row they somehow thought it would be a good idea to try and pass a hot tray of chicken in gravy across the four middle seats with the result that the red hot gravy spilled on the my wifes remaining food and lap although fortunately she did have a napkin in place which absorbed most of the liquid it also spilled on my kindle which thankfully had the cover closed a very brief apology was given but without any sincerity and i suspect blissfully unaware of the obvious mistake they had made my wifes wine was replaced but not the rest of her dinner once again we landed on time which was a good thing overall the return flight was extremely poor"
659,marseille to london i am generally annoyed with the quality of the service i believe that we should not have to pay for a glass of water with slice of lemon in a ba flight i realised that i forgot a big duty free bag in the plane after the passport control i went to the ba helpdesk the staff sent me to terminal 5 at the lost and found to pick up my bag while it was not even there luckily i decided to stop on the way in the lost and found of terminal 3 where they the friendly lost and found staff and not the ba staff nicely explained me that there was no point for me to go there and called some other agents to help me
660,he cabin crew on flight ba035 london to chennai were very efficient and did their best to take care of their clients i did tell them i would write a review and here it is keep up the good service and thanks
661,gatwick to malaga check in was fairly quick the check in area at gatwick is quite nice although they are failing with general upkeep the whole area needed vacuuming and there were stains and signs of chewing gum on the carpets if youre not going to look after it then you better just having normal airport flooring the lounge at gatwick is really nice and whilst it was very busy there were still available comfy and desk style chairs to suit the food and drink offering was very good tasty and varied on board i was lucky to be able to book the exit row which actually makes the seats better than club in my opinion food and drinks service was fairly slow although being near the front this wasnt a problem for me the food offering is fairly poor really a couple of sandwiches or snacks drinks selection is better what was very nice was near the end of the flight i was given a free glass of champagne for being a silver member i wouldnt expect this and im sure its just because they had a bottle to use up but it was a nice gesture to show to frequent flyers still no wifi or wifi based in flight entertainment offered priority bag tags as usual are kind of irrelevant my bag took quite a long time to come through and was preceded by dozens of non priority bags overall a decent flight and very good value as i paid using avios being silver and getting lounge access and free seat selection was a massive plus
662,boston to london heathrow was excited to experience a380 for the first time paid a steep 91 for the seat selection on the upper deck was very comfortable with storage cabin beneath the window seat itself was the standard one comfortable the boarding was efficiently managed for such a large aircraft there was never a massive crowd in front of the gate the inflight service for the outbound leg was less than ideal the food was very mediocre at best  not worth losing sleep over it there was serious bumps along the way midflight the a380 being so massive easily absorbed it return was on a b777  flight was not full but almost full the inflight service and the food served were both remarkably better than the outbound journey the baggage drop area however was a disaster none of the machines worked and there was single kind hearted person assisting passengers the boarding was again very orderly both outbound and inbound ife was good but not as good as some long haul carriers if both legs had similar cabin crew and food i would have scored them higher
663,london to cape town in first and our first taste of the new soft product still unfortunately a 30 yearold 747 that hadnt had its refurbishment and was showing its age a wardrobe door thats falling off its hinges a nontouch touch screen and a cupboard door in the washroom that wont stay shut dont pass muster in first and blemish the impression of the positive changes in the onboard service the young mixed fleet crew did a reasonable job and served drinks and food efficiently without the wait other reviewers have complained about care was also taken in preparing and plating up the food for once nothing was overcooked and even the beef was decent bedding is also improved with a good quality duvet and large pillow the ife remains the same lowres screen quality and the new headphones are uncomfortable worn for more than the duration of a single film the goodies bag is much better and worth taking home overall a pretty good flight but it remains to be seen what ba will do with its longinthetooth first class when their new club suites are launched
664,his review is specifically aimed at the excellent cabin crew on ba 174 from jfk new york to heathrow on tue 14th may i was travelling back from new york following a few days break with 11 girlfriends check in and boarding was all on schedulehowever it was identified that there was a technical problem and the captain advised passengers that some assistance was required to rectify the issue this resulted in over an hours delay leaving ny despite this annoying delay the cabin crew more than made up for this they were friendly polite and couldnt do enough to ensure our journey was comfortable and enjoyable they were all exceptional even those that were not serving in the section i was in i do hope that this information is passed on
665,london to aberdeen before boarding the flight i was forced to check in my bag at the gate because apparently the flight was full and i was boarding in group 5 i was traveling with the permitted allowance and discussed with the lady at the boarding gate i saw people boarding with tax free bags on top of the other bags being almost the last on the plane there was free spaces to accommodate bags i was not happy because i had the permitted allowance
666,gatwick to dubrovnik overcrowded lounges business class seats same as economy with middle seat empty lgw lounge opens one hr before some eu flights in morning only and met by a large queue and now frequent flyers dont get free baggage anymore on long haul cheap tickets
667,i paid an extra 500 for two premium economy seats on this long haul flight and was very disappointed the seat felt small and was shabby the tv screen was small and very dark i tried to adjust it but it was still unwatchable the whole experience was very poor not premium in any way the return flight was a code share with japan airines which was premium a whole different experience i would be happy to pay for their premium seats i would advise avoid british airways premium economy as it is far from premium i felt a complete waste of 500
668,faro to heathrow flight was very good no issues at all but yet again baggage collection was a disaster we fly club or first all the time and without fail the baggage is always last off spoke to ba desk and they were clueless and had no idea why this happens or how to stop it and correct it same happened on flight out too it is a shambles and a disgrace waited 39 mins got cases at heathrow and this is unacceptable will kit be using them again avoid at all costs
669,ancouver to london an excellent flight on ba i travel this route several times a year and generally ba are much better than ac especially on this flight ba were way ahead of the competition seats comfortable food pretty good for economy decent wine and the in flight crew simply outstanding professional smiling friendly they embodied ba at their very best
670,gatwick to tenerife all so wrong lounge really overcrowded  food on the plane pretty horrid left most of it paid for and travelling business class and allocated four rows away from my partner  this is normal procedure apparently on top of a 2000 six night holiday i should have paid another hundred pounds plus to sit with my partner  total madness this is an airline with a self destruct button such a shamehave just booked norwegian for our next flights to barcelona and buenos aires did not even bother to look at ba
671,washington to london having travelled out to washington from heathrow on 230419 first class i wasnt overly impressed although the concorde room was relaxing and comfortable the bar staff were a mixture of attentive and somewhat dismissive the cabin crew were polite but quite surgical in their manner which gave an overall impression of a cold and clinical approach my return journey couldnt have been more different the ba lounge was very well presented with a fantastic choice of both food and drink but the hilight of my return flight were the engaging nature of the cabin crew nothing short of amazing i was offered the usual amenities upon boarding but what set this flight apart from the start was the very happy and friendly nature of the crew absolutely nothing was too much trouble and they took the time to chat with me and showed a real general interest in what we talked about demeanour was perfect with both a very professional yet relaxing and engaging approach a fantastic sense of humour and seemed genuinely delighted to assist having had mixed levels of service with ba and always flying virgin i think ba need to track down this staff member and use her as the model for all future cabin crew training
672,rome fiumicino to london city a ba cityflyer service no wait to check in aircraft was not full we pushed back early and arrived early this route still has complimentary refreshments in economy including wine  a great bonus and pleasant surprise cabin service was pleasant and professional a really excellent flight
673,london to shanghai the most disappointing business class i have flown in a long time the plane was old worn and dirty there were crumbs of food on the seat and the floor from a previous flight it took 2 hours to for drinks service to reach my seat after take off  the food followed shortly which was over cooked they seemed to be short on staff however what made me really angry was that there were people in the cabin who had had both drinks and food and were having their beds turned down before id even been offered a drink the service was exceptionally poor i am flying home tomorrow and am not looking forward to the flight as a gold card holder you might have thought ba would check their frequent fliers are being looked after ill return to using other airlines in the one world group for my long haul trips such as cathay jal or finnair the only reason that ive given more than one star is that i managed to sleep quite well  the bedding and pillows were good ultimately though  sorry ba not good enough
674,heir customer service is horrible lost our bags here we sit in london after 25 days of wearing the same clothing we fly out in 3 hours to barcelona for a 14 day cruise and have pretty much lost any hope of being reunited with our bags before we go i spent so much  on this trip to celebrate my husbands 60th birthday and our 5th wedding anniversary it was supposed to be our trip of a lifetime we have really been trying to make light of things but not getting our bags today as its now friday and we left on tuesday am from seattle is heartbreaking not one single person at british airways has handled this with any kind of urgency or empathy for that matter one customer service agent even asked me if we would be ok getting out to heathrow to pick them up truly the worst customer experience ive had
675,london city to zurich i fly this route a lot around 8 times per year the flight was delayed initially by an hour i was kept up to date via the app so i was not disappointed around 45 minutes into the flight one of the crew member came over with a card in his hands wishing me a happy birthday followed by a bottle of champagne brandy etc this was totally unexpected it made my day thanks to the crew
676,i booked a flight from bucharest to london and return and when we were at the airport they informed us that the flight will be delayed for 5 hours from 8am to 1pm then another 1 hour and a half until 230 pm we lost the money we paid for the bus tickets and they would not refund returning to bucharest our flight was delayed and they did not  inform us about it i understand that unforeseen situation can happen but i have never seen such a poorly prepared company in my life
677,london to calgary thank you to james a club world flight attendant on ba 0103 april 15 2019 his service was impeccable attentive and delightful i thoroughly enjoyed the flight
678,ancouver to london we were upgraded to business class at the airport the staff were absolutely delightful and had a fabulous trip really they could not have been more helpful and i would recommend them
679,"
miami to london heathrow with british airways top deck of 747 with one experienced and one new crew members perfect welcome and appreciated the method of selecting what and when to have for breakfast had a starter and then settled down and slept better than expected ontime arrival and aa arrivals lounge was quiet with good showers"
680,houston to london the plane left an hour late while an engineer dealt with a problem ive no problem with that i like travelling safely i thought well im sure id booked an aisle seat online but it appears it was a window i missed out on the airline meal and when i realised i buzzed the steward and requested a sandwich and water explaining the problem he fetched me a sandwich and various bits hed scrabbled together from the kitchen later when the liquid refreshment cane round both my neighbour and i requested water and i had to reach across him for my drink as he helped himself to his drink and left me to it
681,london to delhi the worst business class trip for us seats much smaller than business class on singapore air thai international eva air qantas not seated together  same surname mr and mrs  but moved after no privacy on middle seats one tiny drawer is only storage for shoes ipad makeup and sponge bag book etc filmtv selection was very limited and my choice wasnt working the food was very poor  main course congealed and so basic with a dessert that was pathetic no tea coffee or chocolates offered to us breakfast had no jam with the croissant nobody came round during the flight offering extra water or other beverages the crew didnt put themselves out if one pays more for business class one expects more and we didnt get it i would never choose to travel ba again
682,bucharest to london my flight with british airways was 7 hours delayed from a european destination to london i applied for compensation for this delay initially i was informed that under eu regulations i would receive 400 euros compensation to be informed 4 days later that this was an error and that i was no longer getting compensated british airways argued that sickness of a crew member is considered extraordinary circumstances comparable with weather issues and that therefore they do not have to compensate passengers for this flight however there are court precedence cases that clearly show that crew sickness is not to be considered an extraordinary circumstance and that it is in an airlines responsibility to have a contingency strategy for such cases or compensate if they do not i have talked to the manager of customer service and was told that there is nothing they can do as this is their policy i believe that if not on legal basis british airways should have compensated out of customer service reasons because a 7 hour delay within europe is significant many times i picked to fly with british airways based on the expectations of good customer service in the case of anything going wrong but this experience proved to me that its not worth investing that extra money into flying with british airways
683,london heathrow to bengaluru i found the crew very friendly and even humorous whenever the airhostesses passed through the aisle i was on a seat next to the aisle we would exchange some friendly comments which almost always lead to muffled laughs  one air hostess admitted that she enjoyed such conversations which made the stress of her work lighter
684,madrid to london we paid for business class and then paid for specific seats the original booking was from iberia part of iag which operates ba iberia and air lingus ba clearly do not integrate into iberias systems since after paying for and closing our seats upon checking in we found our seats had been changed by ba these flights were operated by iberia and ba ba being the return leg from madrid to london heathrow ba explained that they would have to check if we were due a refund  total joke since we paid for the seats additionally the ba said the flight was full and could not change the seats no explanation as to why we paid for specific seats in business and they were changed by ba without notice well accept the refund on this occasion since there is nothing else we can do and never use ba or iberia again which is a shame since iberia cs has always reflected all and iag  ba has let the customer down again just simply poor ba  and low bar as always expected more for full fare business class rated 110 since as we were let down and did not receive an explanation and were initially told that we would not get a refund on the paid for allocated seats
685,dublin to london heathrow british airways offered a very good overall service on this flight i booked online and found that process very easy the caveat was not being able to select the seat i wanted ahead of travel without paying another fee the checkin lady was very friendly and helpful and gave a good account of herself the flight departed ontime and the captain made frequent announcements within the previous two weeks i had flown with ba twice within europe and this flight was by the best of the 3 thanks to the staff the flight was relatively short but well managed with a nice drop down map and staff visibly make a real effort one curiosity was the staff handing out uk landing cards the flight was punctual and reliable
686,london to seattle my seat was on the upper deck a nice perk for seattle flights to europe ba is the only one flying 747s to europe from seattle overall the product is outdated service was not at the level it used to be staff is polite and professional but they keep the service to a minimum  upper deck crew on this flight was mainly uninterested except the bare minimum  no additional service no top ups not offering water during the flight of course if you ask for something you do get it there was also a lot of traffic on the stairway connecting upper and lower deck with the crew congregating at the lower deck  i hope ba will improve their act i certainly wont use their services in foreseeable future
687,london to gibraltar check in at t3 was fine lounge was good and staff were more proactive than was previously the case flight was good with decent lunch served including the kids meals which were fine skilled landing in gibraltar a good flight
688,london to boston ba replaced a380 with a very old boeing 747 video system did not work for more than 1 hour then work for a few hours and stopped working no wifi very old plane service ok not good for business traveling
689,london to doha similar to our outbound flight the seats are comfortable but behind the competition very small storage area  if you are tall try sleeping sitting up or in the cradle position as the bed is just not long enough the food portions seems like you are forced to go on a diet though the taste was ok the entertainment system had the worst selection of any airline i have flown lately  but their check in baggage policy makes them a very attractive option when you see what their opposition charges for excess luggage
690,london heathrow to houston despite sitting at the back of the plane we were really well looked after without exception all of the staff in this cabin were exceptionally friendly and professional they really seemed to be enjoying their work lunch and a pre landing snack were provide together with an ice cream mid flight commendably even in these days of austerity my pre lunch gin was served with fever tree tonic well done ba frequent drinks runs were made despite its age the jumbo was well turned out internally the only downside was because of air traffic issues at heathrow the flight arrived late this meant that we almost missed our connecting domestic flight this was mainly down to tardy immigration procedures the need to pick up our bags and transfer to another terminal for our ongoing flight all very stressful
691,larnaca to london this a320 is totally unsuitable for a flight of this length the seat pitch and width are the same for economy and club having paid 1000 for my flight its disgraceful on flight where you are sitting for more than 5 hours in an expensive club europe seat the personal space is so tight if the person in front reclined their seat its a nightmare the seat in the middle is blocked but getting out if the seats in front are reclined is hazardous  you pay for a club ticket for space and comfort and get nothing
692,i booked my ba flight from zurich to london heathrow using avios my frequent flyer number had to be added 3 times during the booking process when i tried to reserve an aisle seat for medical reasons the ba website showed that all of the seats had been allocated save for a few seats for which i would have had to pay about thirty pounds the checkin area for ba at zurich airport is in a hard to find spot of the airport the checkin agent was very professional helpful and informative the area of departure from zurich was by transfer train the flight boarded in an orderly manner and left more or less on time i was dismayed to see cabin crew serve alcohol to a group of already drunk german speaking sports fans one of the cabin crew declared that she had run out of beer and then suggested to an increasingly loud and aggressive man that he might like the cider instead in the meantime the same crew members ignored me and other passengers while offering the trolley service the overhead maps were not used and the captain made minimal announcements during the flight none of which were in german the flight arrived reasonably promptly
693,he booking process was easy enough but they have reduced the baggage allowance in terms of the seats one can book the cost of including a bag added considerably to the cheapest fare checkin was well managed and it was good to see passengers with too much luggage required to check their bags in departure was well managed and although there was a delay the captain communicated well my gripe is that my seat was dirty and the window was also dirty  some of the to buy ms food items were not available and the lavatory i used was dirty the staff were very professional and pleasant and the dropdown route map was nice especially for the younger passengers to enjoy hardworking crew
694,london to tokyo narita had a fantastic flight in the new ba first cabin on the boeing 787 on both journeys the crew were outstanding as was the food and the service the food was of high end restaurant standard the seat comfortable
695,bridgetown to london gatwick paid for a business class flight the onboard service was abysmal no refreshments offered on boarding dinner took three hours to be served on a night flight my husband had to go to the galley twice for his dinner requests hed been forgotten i requested express service which didnt happen website advertises premium levels of service and every journey unique and unforgettable the service was dreadful but the journey was definitely unforgettable for the wrong reasons dont waste your money with this airline you dont get what you pay for and they try to compensate by offering loyalty points and telling you that you dont pay for the service that the extra costs are for taxes the lounge and extra loyalty points all ba could respond with was a goodwill gesture of loyalty points really
696,st lucia to gatwick on which my wife and i were both involuntarily downgraded from premium economy to economy due overbooking on the flight it should be noted that at no time was there any announcement for volunteers for downgrading at vieux fort airport i now know from your cabin crew that it is normal practice for appeals for volunteers to be put over the tannoy system before any enforced downgrades at the time of going through the baggage hall getting our boarding passes we queried them as none had seat numbers on them to which we were told to just to go through security and our seats would be allocated when we went through the departure gate once in the departure lounge all four of us were tannoyed to return to the baggage hall when we were then told that my wife and i were being downgraded to economy the male telling us this more or less indicated this was the only way we would be getting on the flight giving us 75 per each on a prepayment card as compensation under article 73 of ec 2612004 stating however that this did not affect our statutory rights he then told us he would find us in the departure lounge and then all four of us had to go through security once again the male who we spoke to in the baggage hall did not come and find us we had to go and find him when he also told me that he had put my wife and i on a row with no other passengers which we assumed rightly or wrongly was so we could not tell people sitting beside us about the poor service we had received from ba however two other passengers did come and sit beside us with the passenger sitting beside my wife telling her this was because the seat they had been allocated was soaking wet and smelt of urine and the cabin crew had asked them to sit on it with a cushion which they had refused and so they were given the seats next to us which was no problem what further concerned me even more was one of your cabin crew walking past another passenger with their seat in the reclined position on three separate occasions just prior to approaching gatwick and after the pilot had requested seat belts on and seats in upright positions never telling the passenger to raise their seat bas latest advert celebrates 100 years of ba but for me their service is going backwards the music that accompanies the advert is called salvation and by the end of the flight my wife and i were surely seeking it article 10 of ec regulation 2612004 is worth reading if this happens to you
697,chicago to london cancelled flights just a few hours before i left home then put me on a different flight which would have made it impossible to make my connecting flight was finally put on a different flight on the way home because my first flight was through american airlines and the second through british airways all in the same booking i was only able to check in and get a seat on the american airlines flight as i was redirected every time to their website couldnt check in for the british airways flight so had to have a middle seat which is very uncomfortable i always check in 24 hours before to guarantee a seat but ba wouldnt allow me to do this
698,london to bangalore this was the worst experience i flew with my infant daughter ande cabin crew was extremely rude i was surprised that there was no way to heat milk for my daughter i found the food portions so meagre not sufficient for a child also  british airways is sad in every sense of the term
699,hamburg to abu dhabi via heathrow the 15h flight from hamburg to heathrow was like flying a budget carrier no free service at all everything has to be purchased at inflated prices heathrow t5 the usual chaos i can use the f lounge due to my one world status massive lounge crowded with the charm and food quality of a cafeteria toilets filthy one of the worst lounges ive seen boarding orderly and well organized boeing 788 ife screen broken seats very uncomfortable and narrow service and food quality average flight abu dhabi to heathrow delayed by almost an hour due to late arrival of the flight crew this is something i have never experieinced before rest of the journey uneventful overall a rather disappointing experience ba cannot compete with the middle eastern carriers
700,london to seville following on from mistakenly booking a return flight with ba despite having a previous confirmed booking with a competitor i quickly called up ba to resolve the issue they understood the problem and gave me a full refund the agent was exceptionally helpful on the phone and provided me a quick answer and solution to the problem i dont believe most airlines would have accepted my reasoning however its great to see ba treat their customers with care
701,doha to paris via london this is the first time using ba since october 2002 nothing has changed  the same reversible business class seats with very little storage space still comfortable but the business has caught up with ba and left them behind with very poor entertainment selection and limited food choice it cannot compare with other business leaders like cathay and qatar airways but on this route ba charges the same price as qatar airways but delivers a much poorer product though the service was ok not as personal but alright where they are better is with their check in luggage policy of 2 bags 32 kgs each they are superior and generous i will still use them but look forward to them rolling in the new business class
702,madrid to london ba0457 on the 1803 couldnt have been a better service long time since i flew club europe but it was an amazing experience the welcome aboard was excellent and so was the service and food stephen one of the flight attendants was so attentive and happy to help that he probably made it the best short haul flight experience i have had in a long time well done to the crew on that flight
703,on the flight to tokyo i was separated from my wife even though it was our honeymoon thanks the return felt like a 12 hour easyjet flight one meal and one half meal limited drinks very small seats im 5 foot 9 and my knees touched the seat in front very very mediocre
704,london to vancouver check in agent very helpful in searching out seat options very smooth process the disappointment was the receptionist at the galleries lounge at t3 who was rude and unhelpful all was redeemed once on board the crew were excellent throughout the flight in the best british airways tradition  friendly helpful and attentive food not great but on a par with economy in other airlines wines better than many airlines the aircraft was clean and reasonably well maintained for an older 747400 ife selection good
705,he first class zone at heathrow t5 and the concorde lounge are very good service on board was excellent in both directions the cabin layout is unimpressive and the food is nothing to write home about the screen is small with poor resolution i enjoyed the flights in both directions mainly because of the service this first does not compare well with that of middle eastern and asian airlines but ba business class is so poor i either fly economy or when i am very lucky try to fly first
